Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
296,counselor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor
297,mover,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse
298,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor
299,cleaner,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse
300,tailor,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
301,lawyer,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover
302,cook,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
303,secretary,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian
304,secretary,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
305,farmer,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker
306,farmer,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
307,assistant,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
308,supervisor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor
309,attendant,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
310,manager,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover
311,librarian,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough
312,mover,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
313,nurse,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer
314,farmer,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor
315,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
316,counselor,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
317,developer,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse,nurse
318,physician,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
319,accountant,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer
320,laborer,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
321,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor
322,housekeeper,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
323,physician,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
324,sheriff,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
325,tailor,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
326,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver
327,designer,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian
328,baker,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician
329,sheriff,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer
330,janitor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor
331,clerk,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer
332,attendant,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
333,developer,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
334,writer,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
335,carpenter,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor
336,attendant,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff
337,cook,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor
338,analyst,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
339,housekeeper,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer
340,guard,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor,tailor
341,attendant,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough
342,librarian,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
343,physician,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
344,driver,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
345,writer,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor
346,mover,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer
347,designer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
348,driver,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor
349,baker,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer
350,carpenter,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
351,auditor,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
352,developer,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician
353,baker,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
354,chief,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer,developer
355,auditor,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver
356,ceo,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian
357,teacher,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer
358,hairdresser,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor
359,physician,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
360,janitor,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer
361,tailor,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
362,chief,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor,counselor
363,attendant,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician
364,laborer,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
365,attendant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
366,carpenter,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver
367,editor,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
368,editor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
369,sheriff,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
370,chief,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
371,editor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor
372,cook,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
373,auditor,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer
374,salesperson,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician
375,designer,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover
376,counselor,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
377,sheriff,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
378,counselor,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer
379,analyst,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
380,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician
381,tailor,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
382,attendant,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff
383,lawyer,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff
384,janitor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor
385,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
386,mover,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff
387,attendant,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
388,farmer,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
389,librarian,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
390,assistant,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
391,driver,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
392,chief,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
393,cleaner,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian
394,teacher,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the,the
395,janitor,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
Correct:,---,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Incorrect:,---,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Unsure:,---,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
Other:,---,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
